CODE	quality	Cohort	GROUP	age	sex	ATTATOT	ATTAIND	ATTAC	ATTAL	Cab1No	Cab1Fs	Cab1Fi	Cab1o	Cab2No	Cab2Fs	Cab2Fi	Cab2o	Cab3No	Cab3Fs	Cab3Fi	Cab3o	SCIVall	SCISall	SCIMall	SCIVten	SCISten	SCIMten	ATD
0107962JE	2	1	TL3	19.51232877	0									4	3	5	1											
0109952BE	12	1	COV	20.34520548	F	54	4	58	2	5	3	5	5	1	4	6	5					8	13	15	7	9	8	
0109953AG	123	1	TL2	21.0109589	F	69	11	80	6	2	4	8	1	3	5	14	6	4	5	11	6	7	12	12	6	9	8	
0111942CA	123	1	TL1	21.17808219	F	64	6	70	4	1	4	12	3	2	5	6	9	3	3	6	2							
0112941MA	13	1	TL1	21.09589041	M	56	12	68	4	1	3	11	6					3	4	5	6							
0112951EM	13	1	TL3	20.09589041	F	75	10	85	7	3	5	17	5					4	7	20	6							
0201964HA	123	1	TL2	20.00821918	M 	61	9	70	4	2	8	10	8	3	7	14	7	4	6	9	7	9	10	13	8	7	7	
0209951SA	123	1	COV	20.34246575	F	61	8	69	4	5	5	4	2	1	4	6	6	2	5	8	6	4	11	6	4	8	5	
0308952NI	123	1	TL1	20.42465753	M	68	12	80	6	1	4	15	3	2	7	9	7	3	4	9	6	7	10	13	7	7	8	
0310951SI	123	1	TL2	20.25753425	F	56	16	72	4	2	3	8	3	3	4	10	7	4	4	10	6							
0404938NI	2	1	TL4	22.75616438	F 									5	2	6	7											
0406961SO	123	1	TL2	19.58630137	F	68	13	81	6	2	6	12	2	3	6	12	4	4	5	11	9	5	7	7	5	6	3	
0408921JO	13	1	TL1	23.42191781	F	65	4	69	4	1	4	12	3					3	2	6	4	6	11	12	6	8	7	
0410942NO	3	1	TL	0	f													5	4	8	8							
0410951NA	123	1	TL3	20.25479452	F	70	14	84	6	3	3	8	3	4	4	10	5	5	4	11	7							
0411931CO	123	1	TL4	22.16986301	F	52	3	55	2	4	2	5	1	5	4	5	2	1	3	7	3	5	9	9	5	6	6	
0411943JO	123	1	TL2	21.16986301	F	62	19	81	6	2	5	8	4	3	5	11	4	4	6	14	2							
0501913LY	3	1	TL	0	0													5	7	14	7							
0505952NA	12	1	TL3	20.67123288	M	57	7	64	3	3	2	9	4	4	4	6	4											
0506953AN	123	1	TL2	20.58630137	F	65	21	86	7	2	7	5	3	3	5	13	7	4	6	11	8							
0509957SU	1	1	COV	20.33424658	F	60	8	68	4	5	4	7	5									3		8	3		6	
0601930GL	2	1	TL4	22.99726027	F 									5	6	10	3											
0603962AN	123	1	TL3	19.83287671	M	56	11	67	3	3	1	8	3	4	4	5	4	5	4	4	4							
0606951JA	22	1	TL3	20.58356164	0									4	4	8	2											
0611952JA	12	1	TL4	20.16438356	F	67	14	81	6	4	5	6	3	5	7	8	5											
0701944CA	123	1	TL3	21.99452055	F 	63	16	79	6	3	3	11	3	4	3	12	3	5	6	8	4							
0702952DE	123	1	TL1	20.90958904	F	60	7	67	3	1	3	10	4	2	8	12	6	3	2	13	5	7	8	12	7	6	7	
0712952SU	x12	1	COV	20.07945205	F					5	5	7	3	1	5	8	4											
0802952SU	3	1	TL	20.90684932	f													5	6	11	7							
0804961RO	12	1	TL2	19.74246575	F 	63	11	74	5	2	6	10	2	3	5	13	7											
0807960LY	123	1	TL3	19.49315068	F	62	10	72	4	3	4	5	3	4	3	10	6	5	4	9	3	8	10	12	7	7	8	
0809902LE	123	1	TL4	25.32876712	F	55	6	61	3	4	4	9	4	5	5	7	1	1	8	7	1							
0906961CH	123	1	COV	19.57260274	F	54	6	60	3	5	6	7	4	1	5	9	7	2	3	7	1	6	13	8	6	7	5	
1005952CL	2	1	TL4	20.65753425	M									5	4	9	4											
1008932RO	2	1	TL1	22.40547945	M									2	7	7	11											
1010940JU	123	1	COV	21.23835616	M	67	13	80	6	5	5	9	7	1	4	8	10	2	3	12	10	9	7	12	8	6	6	
1106931MA	12	1	TL3	22.56986301	M	64	9	73	4	3	3	15	3	4	6	17	7					9	8	10	8	5	3	
1106950CA	123	1	TL4	20.56986301	M 	71	15	86	7	4	3	10	5	5	5	11	9	1	6	6	10							
1106954CL	123	1	TL1	20.56986301	F	63	6	69	4	1	5	11	6	2	6	9	2	3	2	8	5							
1107962NA	1	1	COV	19.48493151	F	67	12	79	6	5	0	3	4															
1108864MB	x12	1	TL4	29.40821918	F					4	4	12	7	5	5	17	9											
1201963PA	12	1	TL4	19.98082192	F	64	8	72	4	4	5	5	5	5	6	7	7											
1203962HE	123	1	TL1	19.81643836	F 	58	9	67	3	1	5	8	6	2	5	12	5	3	3	5	8	10	9	10	9	6	7	
1206951PA	123	1	TL3	20.56712329	M	61	5	66	3	3	3	10	2	4	3	7	3	5	5	10	1							
1206962LO	12	1	TL2	19.56438356	F	66	11	77	5	2	4	6	3	3	5	10	7											
1308963JA	12	1	TL4	19.39452055	F	68	10	78	6	4	6	7	4	5	5	10	5											
1312952JA	123	1	COV	20.0630137	M	53	8	61	3	5	5	6	6	1	7	5	7	2	6	8	5	7	7	15	6	7	10	
1401932EL	123	1	TL2	22.97534247	M	58	9	67	3	2	7	8	3	3	5	12	6	4	6	7	4	8	9	12	7	7	8	
1408941CL	123	1	TL3	21.39452055	F	68	12	80	6	3	4	11	2	4	4	10	4	5	6	12	6	9	10	6	8	6	5	
1411953MO	23	1	TL4	20.14246575	F 									5	6	8	6	1	5	6	8							
1501961TR	123	1	TL1	19.97260274	F	70	9	79	6	1	6	9	5	2	7	8	9	3	4	8	5	6	13	12	6	9	7	
1506952MA	12	1	TL3	20.55890411	f 	60	8	68	4	3	3	5	3	4	5	8	6											
1510933SH	1	1	TL1	22.22465753	F	70	13	83	6	1	4	8	5									5	8	8	4	5	5	
1601962RU	123	1	TL4	19.96986301	F	72	11	83	6	4	5	9	4	5	5	13	9	1	6	13	7							
1608963BO	123	1	TL4	19.38630137	F	67	7	74	5	4	6	11	4	5	6	7	4	1	6	9	2	6	9	12	6	6	5	
1610953AN	123	1	TL3	20.22191781	F	65	6	71	4	3	4	10	7	4	5	7	7	5	5	9	5	8	13	11	8	9	7	
1703932RI	12	1	TL2	22.80547945	F	49	4	53	2	2	4	9	1	3	4	9	3					9	12	11	8	6	6	
1705950PI	12	1	TL1	20.63835616	F	59	3	62	3	1	3	9	6	2	5	4	5					8	10	7	8	6	6	
1706962FI	123	1	COV	19.55068493	F	55	6	61	3	5	5	3	5	1	5	4	8	2	4	8	7							
1708961TR	12	1	TL2	19.38356164	M	58	9	67	3	2	5	9	5	3	3	9	9											
1709951NA	1	1	TL1	20.30136986	F	60	7	67	3	1	3	5	3															
1711952KA	123	1	TL2	20.13424658	F	69	12	81	6	2	7	12	9	3	7	12	13	4	5	17	8							
1712933KV	3	1	TL	0	f													1	7	9	5							
1801962TE	2	1	COV	19.96438356	m									1	4	7	3											
1805953MA	12	1	TL4	20.63561644	M	69	10	79	6	4	2	4	6	5	8	8	8						8	12		6	8	
1806941JU	12	1	TL4	21.55068493	F	60	10	70	4	4	5	14	5	5	7	11	9											
1807961JU	123	1	TL2	19.46575342	F 	62	9	71	4	2	5	15	6	3	1	7	7	4	5	13	8							
1811882FU	123	1	TL4	27.13424658	M	48	4	52	2	4	5	9	1	5	4	7	2	1	6	9	1	7	10	13	7	7	8	
1812951JE	13	1	TL4	20.04931507	F	66	12	78	6	4	5	16	6					4	6	19	8	5			5			
1903962AN	2	1	TL4	19.79726027	0									5	3	5	4											
1906961SA	1	1	TL2	19.54520548	F	57	14	71	4	2	7	7	4															
1908961CL	12	1	TL2	19.37808219	F	71	15	86	7	2	5	13	4	3	7	12	6					6		13	5		7	
1908962EL	123	1	TL2	19.37808219	F	49	4	53	2	2	4	5	4	3	4	8	9	4	7	11	10							
2002961KA	12	1	TL1	19.8739726	F	62	12	74	5	1	5	12	5	2	9	7	6					5	12	11	5	10	8	
2006960CL	1	1	TL1	19.54246575	F	63	8	71	4	1	5	8	3															
2006962CA	123	1	TL4	19.54246575	M 	73	11	84	6	4	5	16	10	5	4	8	3	1	6	12	6							
2010941NI	123	1	TL3	21.2109589	F	60	9	69	4	3	3	11	8	4	6	11	6	5	6	11	8	8	10	13	8	8	8	
2010953CA	1	1	COV	20.2109589	M	64	6	70	4	5	4	7	4									3			2			
2103951EL	123	1	TL4	20.79452055	F	68	16	84	6	4	6	12	5	5	6	9	7	1	6	12	7							
2105951FR	123	1	TL1	20.62739726	F	66	8	74	5	1	4	7	3	2	5	10	5	3	3	9	4	6	9	9	6	7	5	
2108933NI	123	1	TL2	22.37534247	F	60	13	73	4	2	6	9	4	3	5	8	6	4	4	6	4	4	7	12	4	5	7	
2206950HA	3	1	TL	0	f													5	5	3	5							
2209951MI	12	1	COV	20.28767123	F	65	11	76	5	5	4	9	7	1	6	7	8					8	10	8	7	6	6	
2304963SH	12	1	TL3	19.70136986	F	59	5	64	3	3	4	11	2	4	4	10	6					8	11		7	8		
2307963GE	12	1	TL3	19.45205479	F	62	10	72	4	3	7	14	8	4	5	14	3											
2310952LI	123	1	TL2	20.20273973	M	64	15	79	6	2	5	15	10	3	8	9	16	4	7	6	11							
2405962AN	12	1	COV	19.61643836	F	52	6	58	2	5	3	6	1	1	3	8	3					8	9	9	8	8	6	
2407951JU	1	1	TL1	20.45205479	F	75	11	86	7	1	7	17	10															
2411953kh	2	1	COV	20.11506849	0									1	2	7	5											
2502961JO	1	1	TL1	19.86027397	F	64	4	68	4	1	2	3	1															
2601932PI	1	1	TL4	22.94246575	F	43	0	43	1	4	3	12	4									8	12	13	7	8	8	
2607963LO	123	1	TL4	19.44383562	M	64	16	80	6	4	3	14	6	5	4	10	8	1	0	0	6							
